                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 2.0434,                 1.0451,                 1.3025,                0.70818,                0.39178,                0.48781,                0.20234,                 2.1629,                 1.0693,                 1.3571,              0.0004952,              0.0004952,              0.0004952
                     78,                  2.023,                 1.0364,                  1.291,                0.71122,                0.38852,                0.48541,                0.20316,                 2.1544,                 1.0748,                  1.357,              0.0004754,              0.0004754,              0.0004754
                     79,                 2.0094,                 1.0287,                 1.2935,                0.70765,                0.39317,                0.48837,                 0.2036,                 2.1607,                 1.0591,                 1.3569,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.0123,                 1.0215,                 1.2896,                0.70498,                0.39243,                0.48712,                0.20489,                 2.1488,                 1.0643,                 1.3511,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.0279,                 1.0267,                 1.2747,                0.71525,                0.39608,                0.49181,                0.20633,                 2.1503,                 1.0508,                 1.3533,               0.000416,               0.000416,               0.000416
                     82,                  2.008,                 1.0225,                 1.2809,                0.71595,                0.39634,                0.49398,                0.20684,                 2.1514,                 1.0491,                 1.3525,              0.0003962,              0.0003962,              0.0003962
                     83,                  1.981,                 1.0103,                 1.2773,                0.70744,                0.39682,                 0.4914,                0.20593,                 2.1477,                  1.041,                 1.3515,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.9794,                 1.0054,                 1.2779,                0.70909,                0.39553,                0.48978,                0.20584,                 2.1472,                 1.0435,                 1.3528,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.9858,                 1.0071,                 1.2579,                0.70833,                0.40002,                0.49496,                0.20883,                 2.1298,                 1.0388,                 1.3452,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.9854,                 1.0012,                  1.266,                0.70912,                0.39721,                0.49277,                0.20823,                 2.1342,                 1.0365,                 1.3458,               0.000317,               0.000317,               0.000317
                     87,                  1.964,                0.99483,                 1.2692,                0.71548,                0.39701,                0.49416,                0.21038,                  2.123,                 1.0332,                 1.3401,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.9659,                0.99542,                 1.2626,                0.71497,                0.39675,                0.49387,                0.21059,                 2.1213,                 1.0357,                 1.3424,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.9751,                 1.0071,                 1.2568,                0.71258,                0.39597,                0.49307,                0.20902,                 2.1226,                 1.0318,                 1.3425,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.9661,                0.99246,                 1.2516,                0.71812,                0.39794,                0.49617,                0.21107,                 2.1197,                 1.0238,                 1.3396,              0.0002378,              0.0002378,              0.0002378
                     91,                  1.906,                0.93024,                 1.2413,                0.71129,                0.39112,                0.49171,                0.20938,                 2.1248,                 1.0544,                 1.3412,               0.000218,               0.000218,               0.000218
                     92,                 1.8823,                0.91965,                 1.2273,                0.70641,                0.39159,                 0.4894,                0.20846,                 2.1259,                 1.0541,                  1.342,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.8641,                0.91102,                   1.22,                0.70295,                0.38886,                0.48803,                0.20788,                 2.1282,                 1.0559,                 1.3429,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.851,                0.90067,                 1.2093,                0.70506,                0.38899,                0.48847,                0.20791,                  2.131,                 1.0575,                 1.3457,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.8461,                0.89726,                 1.2064,                0.70776,                 0.3889,                0.48921,                0.20836,                 2.1328,                 1.0533,                 1.3475,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.8309,                0.89283,                 1.2019,                0.70262,                0.38646,                0.48555,                0.20764,                 2.1297,                 1.0539,                 1.3459,               0.000119,               0.000119,               0.000119
                     97,                 1.8178,                0.88361,                 1.2036,                0.70162,                0.38679,                0.48681,                0.20728,                 2.1277,                 1.0541,                 1.3457,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.8193,                0.88562,                 1.1931,                0.70094,                0.38658,                0.48584,                0.20754,                 2.1267,                 1.0536,                 1.3441,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.8027,                0.87771,                 1.1927,                0.70912,                0.38609,                0.48775,                0.20804,                 2.1264,                 1.0522,                  1.344,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.8012,                0.87529,                 1.1859,                0.70518,                0.38487,                0.48589,                0.20729,                 2.1278,                 1.0551,                 1.3441,               3.98e-05,               3.98e-05,               3.98e-05
